Latitude,Longitude,ZoneType,Hour,Noise_dB,TrafficIndex,PM2.5
28.5689,77.1782105263158,Market,7,68.43,0.472,56.5
28.5689,77.1782105263158,Market,8,72.25,0.526,47.7
28.5689,77.1782105263158,Market,9,72.29,0.545,50.2
28.5689,77.1782105263158,Market,10,65.34,0.438,57.1
28.5689,77.1782105263158,Market,11,81.68,0.677,75.5
28.5689,77.1782105263158,Market,12,66.67,0.379,49.9
28.5689,77.1782105263158,Market,13,74.05,0.54,38.8
28.5689,77.1782105263158,Market,14,80.14,0.705,72.7
28.5689,77.1782105263158,Market,15,60.04,0.376,43.1
28.5689,77.1782105263158,Market,16,71.89,0.597,32.6
28.5689,77.1782105263158,Market,17,83.41,0.751,74.8
28.5689,77.1782105263158,Market,18,88.5,0.774,64.5
28.5689,77.1782105263158,Market,19,72.9,0.535,70.1
28.5689,77.1782105263158,Market,20,82.77,0.69,54.7
28.5689,77.1782105263158,Market,21,69.91,0.5,44.1
28.5689,77.1782105263158,Market,22,71.53,0.554,44.9
28.5689,77.1782105263158,Market,23,63.58,0.318,44.3
28.5689,77.18294736842105,Industrial,0,55.32,0.275,46.8
28.5689,77.18294736842105,Industrial,1,55.35,0.263,45.8
28.5689,77.18294736842105,Industrial,2,64.13,0.392,58.7
28.5689,77.18294736842105,Industrial,3,74.4,0.506,45.1
28.5689,77.18294736842105,Industrial,4,62.65,0.325,60.3
28.5689,77.18294736842105,Industrial,5,48.88,0.075,37.3
28.5689,77.18294736842105,Industrial,6,89.76,0.827,64.0
28.5689,77.18294736842105,Industrial,7,63.92,0.391,61.7
28.5689,77.18294736842105,Industrial,8,79.96,0.655,65.8
28.5689,77.18294736842105,Industrial,9,74.32,0.607,59.3
28.5689,77.18294736842105,Industrial,10,77.03,0.607,63.7
28.5689,77.18294736842105,Industrial,11,70.8,0.565,53.7
28.5689,77.18294736842105,Industrial,12,73.4,0.468,59.9
28.5689,77.18294736842105,Industrial,13,79.94,0.634,72.0
28.5689,77.18294736842105,Industrial,14,70.19,0.491,38.8
28.5689,77.18294736842105,Industrial,15,77.25,0.686,68.5
28.5689,77.18294736842105,Industrial,16,89.37,0.872,63.6
28.5689,77.18294736842105,Industrial,17,80.1,0.631,69.1
28.5689,77.18294736842105,Industrial,18,69.53,0.546,58.1
28.5689,77.18294736842105,Industrial,19,94.29,0.849,87.3
28.5689,77.18294736842105,Industrial,20,73.42,0.606,69.6
28.5689,77.18294736842105,Industrial,21,63.18,0.322,55.4
28.5689,77.18294736842105,Industrial,22,65.62,0.464,49.8
28.5689,77.18294736842105,Industrial,23,65.49,0.394,35.2
28.5689,77.18768421052631,MainRoad,0,76.8,0.647,79.3
28.5689,77.18768421052631,MainRoad,1,72.64,0.524,47.8
28.5689,77.18768421052631,MainRoad,2,61.07,0.371,37.1
28.5689,77.18768421052631,MainRoad,3,60.4,0.367,59.9
28.5689,77.18768421052631,MainRoad,4,71.23,0.553,61.1
28.5689,77.18768421052631,MainRoad,5,65.23,0.4,51.7
28.5689,77.18768421052631,MainRoad,6,91.38,0.856,67.2
28.5689,77.18768421052631,MainRoad,7,73.45,0.619,70.3
28.5689,77.18768421052631,MainRoad,8,94.52,0.945,81.5
28.5689,77.18768421052631,MainRoad,9,88.1,0.828,64.7
28.5689,77.18768421052631,MainRoad,10,80.43,0.76,50.8
28.5689,77.18768421052631,MainRoad,11,75.78,0.61,50.6
28.5689,77.18768421052631,MainRoad,12,96.28,0.936,78.0
28.5689,77.18768421052631,MainRoad,13,84.21,0.718,59.3
28.5689,77.18768421052631,MainRoad,14,92.37,0.857,76.4
28.5689,77.18768421052631,MainRoad,15,99.39,1.0,76.4
28.5689,77.18768421052631,MainRoad,16,74.21,0.627,72.6
28.5689,77.18768421052631,MainRoad,17,98.49,0.985,75.1
28.5689,77.18768421052631,MainRoad,18,95.91,0.868,69.3
28.5689,77.18768421052631,MainRoad,19,97.71,0.973,72.5
28.5689,77.18768421052631,MainRoad,20,74.4,0.602,76.0
28.5689,77.18768421052631,MainRoad,21,61.99,0.354,56.2
28.5689,77.18768421052631,MainRoad,22,84.94,0.744,86.3
28.5689,77.18768421052631,MainRoad,23,85.01,0.816,60.5
28.5689,77.19242105263159,MainRoad,0,57.94,0.265,20.8
28.5689,77.19242105263159,MainRoad,1,65.99,0.423,57.2
28.5689,77.19242105263159,MainRoad,2,54.08,0.253,49.0
28.5689,77.19242105263159,MainRoad,3,80.37,0.619,67.4
28.5689,77.19242105263159,MainRoad,4,64.29,0.369,51.8
28.5689,77.19242105263159,MainRoad,5,68.75,0.504,70.0
28.5689,77.19242105263159,MainRoad,6,88.19,0.807,66.3
28.5689,77.19242105263159,MainRoad,7,90.77,0.858,58.0
28.5689,77.19242105263159,MainRoad,8,100.0,1.0,89.8
28.5689,77.19242105263159,MainRoad,9,87.3,0.757,63.1
28.5689,77.19242105263159,MainRoad,10,74.98,0.561,63.3
28.5689,77.19242105263159,MainRoad,11,73.53,0.562,65.8
28.5689,77.19242105263159,MainRoad,12,68.44,0.507,51.9
28.5689,77.19242105263159,MainRoad,13,81.08,0.747,54.4
28.5689,77.19242105263159,MainRoad,14,70.18,0.414,53.4
28.5689,77.19242105263159,MainRoad,15,76.21,0.592,57.1
28.5689,77.19242105263159,MainRoad,16,70.33,0.449,46.7
28.5689,77.19242105263159,MainRoad,17,85.96,0.726,84.4
28.5689,77.19242105263159,MainRoad,18,94.94,0.926,70.1
28.5689,77.19242105263159,MainRoad,19,87.15,0.717,66.6
28.5689,77.19242105263159,MainRoad,20,100.0,1.0,75.2
28.5689,77.19242105263159,MainRoad,21,74.28,0.567,62.9
28.5689,77.19242105263159,MainRoad,22,66.67,0.471,48.1
28.5689,77.19242105263159,MainRoad,23,74.7,0.607,74.8
28.5689,77.19715789473685,MainRoad,0,56.05,0.281,28.3
28.5689,77.19715789473685,MainRoad,1,66.91,0.488,49.8
28.5689,77.19715789473685,MainRoad,2,86.31,0.703,66.1
28.5689,77.19715789473685,MainRoad,3,70.25,0.456,78.4
28.5689,77.19715789473685,MainRoad,4,71.4,0.513,73.2
28.5689,77.19715789473685,MainRoad,5,48.55,0.173,39.4
28.5689,77.19715789473685,MainRoad,6,81.58,0.707,60.0
28.5689,77.19715789473685,MainRoad,7,76.69,0.557,53.4
28.5689,77.19715789473685,MainRoad,8,91.64,0.831,67.2
28.5689,77.19715789473685,MainRoad,9,95.41,0.974,103.9
28.5689,77.19715789473685,MainRoad,10,77.92,0.673,69.4
28.5689,77.19715789473685,MainRoad,11,83.16,0.726,70.2
28.5689,77.19715789473685,MainRoad,12,90.82,0.893,84.9
28.5689,77.19715789473685,MainRoad,13,76.19,0.677,61.5
28.5689,77.19715789473685,MainRoad,14,70.54,0.585,39.8
28.5689,77.19715789473685,MainRoad,15,84.49,0.74,70.5
28.5689,77.19715789473685,MainRoad,16,79.74,0.606,56.4
28.5689,77.19715789473685,MainRoad,17,96.5,0.966,69.5
28.5689,77.19715789473685,MainRoad,18,81.87,0.753,66.0
28.5689,77.19715789473685,MainRoad,19,90.12,0.956,74.1
28.5689,77.19715789473685,MainRoad,20,100.0,0.963,95.8
28.5689,77.19715789473685,MainRoad,21,78.46,0.588,63.7
28.5689,77.19715789473685,MainRoad,22,80.97,0.711,67.9
28.5689,77.19715789473685,MainRoad,23,70.88,0.541,50.3
28.5689,77.2018947368421,MainRoad,0,74.86,0.485,61.5
28.5689,77.2018947368421,MainRoad,1,71.95,0.545,51.2
28.5689,77.2018947368421,MainRoad,2,59.6,0.344,44.7
28.5689,77.2018947368421,MainRoad,3,58.27,0.297,47.3
28.5689,77.2018947368421,MainRoad,4,75.19,0.589,46.6
28.5689,77.2018947368421,MainRoad,5,82.43,0.745,80.5
28.5689,77.2018947368421,MainRoad,6,82.33,0.694,68.5
28.5689,77.2018947368421,MainRoad,7,80.93,0.734,56.7
28.5689,77.2018947368421,MainRoad,8,85.93,0.72,87.5
28.5689,77.2018947368421,MainRoad,9,79.08,0.591,66.9
28.5689,77.2018947368421,MainRoad,10,80.54,0.691,60.2
28.5689,77.2018947368421,MainRoad,11,76.84,0.646,67.2
28.5689,77.2018947368421,MainRoad,12,81.06,0.752,76.7
28.5689,77.2018947368421,MainRoad,13,78.78,0.639,64.2
28.5689,77.2018947368421,MainRoad,14,86.79,0.737,62.6
28.5689,77.2018947368421,MainRoad,15,69.34,0.496,51.4
28.5689,77.2018947368421,MainRoad,16,84.08,0.766,90.3
28.5689,77.2018947368421,MainRoad,17,95.68,0.88,81.1
28.5689,77.2018947368421,MainRoad,18,99.24,1.0,80.4
28.5689,77.2018947368421,MainRoad,19,98.73,0.97,83.9
28.5689,77.2018947368421,MainRoad,20,93.33,0.92,95.3
28.5689,77.2018947368421,MainRoad,21,50.89,0.188,35.2
28.5689,77.2018947368421,MainRoad,22,61.1,0.252,63.3
28.5689,77.2018947368421,MainRoad,23,74.67,0.635,68.0
28.5689,77.20663157894737,Residential,0,46.03,0.127,48.9
28.5689,77.20663157894737,Residential,1,45.38,0.066,26.1
28.5689,77.20663157894737,Residential,2,50.46,0.117,20.0
28.5689,77.20663157894737,Residential,3,54.06,0.221,35.5
28.5689,77.20663157894737,Residential,4,56.66,0.295,46.3
28.5689,77.20663157894737,Residential,5,50.42,0.21,32.8
28.5689,77.20663157894737,Residential,6,60.21,0.366,44.3
28.5689,77.20663157894737,Residential,7,65.52,0.456,68.5
28.5689,77.20663157894737,Residential,8,55.81,0.277,45.9
28.5689,77.20663157894737,Residential,9,57.89,0.33,50.7
28.5689,77.20663157894737,Residential,10,60.14,0.427,39.3
28.5689,77.20663157894737,Residential,11,57.11,0.208,56.4
28.5689,77.20663157894737,Residential,12,47.0,0.141,52.3
28.5689,77.20663157894737,Residential,13,55.31,0.385,25.9
28.5689,77.20663157894737,Residential,14,56.45,0.267,49.2
28.5689,77.20663157894737,Residential,15,50.57,0.175,36.7
28.5689,77.20663157894737,Residential,16,51.12,0.236,40.4
28.5689,77.20663157894737,Residential,17,61.12,0.297,53.4
28.5689,77.20663157894737,Residential,18,59.11,0.292,31.3
28.5689,77.20663157894737,Residential,19,62.7,0.351,66.5
28.5689,77.20663157894737,Residential,20,52.1,0.279,34.2
28.5689,77.20663157894737,Residential,21,52.55,0.181,56.9
28.5689,77.20663157894737,Residential,22,48.69,0.149,42.1
28.5689,77.20663157894737,Residential,23,49.44,0.195,34.0
28.5689,77.21136842105264,Residential,0,55.34,0.267,29.6
28.5689,77.21136842105264,Residential,1,42.03,0.0,42.7
28.5689,77.21136842105264,Residential,2,54.03,0.285,29.1
28.5689,77.21136842105264,Residential,3,52.1,0.213,39.9
28.5689,77.21136842105264,Residential,4,53.14,0.192,50.9
28.5689,77.21136842105264,Residential,5,53.32,0.237,59.6
28.5689,77.21136842105264,Residential,6,58.87,0.389,47.7
28.5689,77.21136842105264,Residential,7,54.99,0.201,60.8
28.5689,77.21136842105264,Residential,8,51.85,0.231,40.4
28.5689,77.21136842105264,Residential,9,60.2,0.362,47.1
28.5689,77.21136842105264,Residential,10,57.27,0.276,63.0
28.5689,77.21136842105264,Residential,11,55.26,0.254,40.2
28.5689,77.21136842105264,Residential,12,50.33,0.192,22.5
28.5689,77.21136842105264,Residential,13,61.57,0.367,43.5
28.5689,77.21136842105264,Residential,14,63.75,0.37,54.0
28.5689,77.21136842105264,Residential,15,54.23,0.22,42.8
28.5689,77.21136842105264,Residential,16,54.24,0.192,45.3
28.5689,77.21136842105264,Residential,17,54.27,0.168,52.4
28.5689,77.21136842105264,Residential,18,55.14,0.287,36.9
28.5689,77.21136842105264,Residential,19,59.23,0.47,30.5
28.5689,77.21136842105264,Residential,20,55.55,0.301,59.2
28.5689,77.21136842105264,Residential,21,59.39,0.341,66.8
28.5689,77.21136842105264,Residential,22,51.96,0.214,61.5
28.5689,77.21136842105264,Residential,23,56.13,0.314,37.4
28.5689,77.2161052631579,Residential,0,40.18,0.039,52.7
28.5689,77.2161052631579,Residential,1,48.27,0.198,22.2
28.5689,77.2161052631579,Residential,2,52.98,0.195,41.6
28.5689,77.2161052631579,Residential,3,63.05,0.393,62.0
28.5689,77.2161052631579,Residential,4,51.67,0.227,52.3
28.5689,77.2161052631579,Residential,5,52.38,0.215,56.7
28.5689,77.2161052631579,Residential,6,45.46,0.07,23.4
28.5689,77.2161052631579,Residential,7,65.5,0.441,51.2
28.5689,77.2161052631579,Residential,8,66.84,0.466,55.7
28.5689,77.2161052631579,Residential,9,58.76,0.217,36.9
28.5689,77.2161052631579,Residential,10,51.17,0.189,50.9
28.5689,77.2161052631579,Residential,11,52.81,0.16,34.6
28.5689,77.2161052631579,Residential,12,56.31,0.194,40.3
28.5689,77.2161052631579,Residential,13,56.03,0.29,53.3
28.5689,77.2161052631579,Residential,14,48.49,0.145,32.7
28.5689,77.2161052631579,Residential,15,56.28,0.239,48.5
28.5689,77.2161052631579,Residential,16,59.68,0.373,53.7
28.5689,77.2161052631579,Residential,17,60.36,0.406,39.1
28.5689,77.2161052631579,Residential,18,54.93,0.221,52.8
28.5689,77.2161052631579,Residential,19,63.54,0.413,29.4
28.5689,77.2161052631579,Residential,20,63.94,0.362,54.1
28.5689,77.2161052631579,Residential,21,50.28,0.144,57.9
28.5689,77.2161052631579,Residential,22,52.42,0.223,41.1
28.5689,77.2161052631579,Residential,23,52.78,0.229,29.5
28.5689,77.22084210526316,Market,0,64.92,0.366,50.2
28.5689,77.22084210526316,Market,1,53.52,0.226,50.2
28.5689,77.22084210526316,Market,2,58.45,0.302,57.3
28.5689,77.22084210526316,Market,3,65.24,0.436,59.4
28.5689,77.22084210526316,Market,4,60.97,0.409,39.1
28.5689,77.22084210526316,Market,5,55.05,0.327,32.1
28.5689,77.22084210526316,Market,6,79.77,0.68,74.2
28.5689,77.22084210526316,Market,7,77.51,0.541,75.1
28.5689,77.22084210526316,Market,8,70.69,0.494,53.1
28.5689,77.22084210526316,Market,9,81.47,0.651,46.8
28.5689,77.22084210526316,Market,10,56.98,0.308,26.8
28.5689,77.22084210526316,Market,11,74.98,0.619,64.4
28.5689,77.22084210526316,Market,12,64.72,0.439,65.9
28.5689,77.22084210526316,Market,13,62.56,0.411,41.1
28.5689,77.22084210526316,Market,14,69.78,0.484,49.0
28.5689,77.22084210526316,Market,15,65.15,0.472,39.7
28.5689,77.22084210526316,Market,16,68.87,0.506,47.4
28.5689,77.22084210526316,Market,17,72.87,0.574,51.7
28.5689,77.22084210526316,Market,18,85.28,0.694,73.2
28.5689,77.22084210526316,Market,19,75.65,0.586,60.6
28.5689,77.22084210526316,Market,20,86.82,0.813,81.5
28.5689,77.22084210526316,Market,21,70.32,0.545,63.7
28.5689,77.22084210526316,Market,22,54.75,0.259,44.8
28.5689,77.22084210526316,Market,23,68.41,0.438,54.4
28.5689,77.22557894736842,Residential,0,47.08,0.103,56.7
28.5689,77.22557894736842,Residential,1,43.45,0.035,44.6
28.5689,77.22557894736842,Residential,2,45.46,0.127,45.5
28.5689,77.22557894736842,Residential,3,45.3,0.063,29.7
28.5689,77.22557894736842,Residential,4,55.09,0.214,35.1
28.5689,77.22557894736842,Residential,5,41.85,0.037,34.0
28.5689,77.22557894736842,Residential,6,51.72,0.203,45.9
28.5689,77.22557894736842,Residential,7,66.05,0.403,35.6
28.5689,77.22557894736842,Residential,8,76.8,0.612,69.6
28.5689,77.22557894736842,Residential,9,60.31,0.241,46.4
28.5689,77.22557894736842,Residential,10,55.72,0.271,54.4
28.5689,77.22557894736842,Residential,11,58.1,0.243,51.0
28.5689,77.22557894736842,Residential,12,49.61,0.217,28.2
28.5689,77.22557894736842,Residential,13,60.92,0.397,62.9
28.5689,77.22557894736842,Residential,14,53.61,0.29,38.0
28.5689,77.22557894736842,Residential,15,54.49,0.174,50.5
28.5689,77.22557894736842,Residential,16,56.65,0.173,44.9
28.5689,77.22557894736842,Residential,17,56.86,0.318,49.7
28.5689,77.22557894736842,Residential,18,60.32,0.295,43.2
28.5689,77.22557894736842,Residential,19,65.76,0.441,54.2
28.5689,77.22557894736842,Residential,20,70.09,0.477,68.9
28.5689,77.22557894736842,Residential,21,49.14,0.159,55.3
28.5689,77.22557894736842,Residential,22,41.89,0.033,36.9
28.5689,77.22557894736842,Residential,23,52.09,0.092,32.2
28.5689,77.23031578947369,Residential,0,54.94,0.245,47.1
28.5689,77.23031578947369,Residential,1,46.84,0.045,20.0
28.5689,77.23031578947369,Residential,2,49.82,0.05,40.0
28.5689,77.23031578947369,Residential,3,52.59,0.316,43.9
28.5689,77.23031578947369,Residential,4,45.2,0.102,31.5
28.5689,77.23031578947369,Residential,5,49.79,0.146,50.0
28.5689,77.23031578947369,Residential,6,55.36,0.182,41.3
28.5689,77.23031578947369,Residential,7,59.02,0.3,50.8
28.5689,77.23031578947369,Residential,8,57.61,0.288,48.7
28.5689,77.23031578947369,Residential,9,57.98,0.261,54.1
28.5689,77.23031578947369,Residential,10,50.3,0.172,40.9
28.5689,77.23031578947369,Residential,11,63.72,0.338,46.6
28.5689,77.23031578947369,Residential,12,55.1,0.288,39.3
28.5689,77.23031578947369,Residential,13,56.17,0.312,39.3
28.5689,77.23031578947369,Residential,14,49.72,0.164,28.0
28.5689,77.23031578947369,Residential,15,53.79,0.134,34.6
28.5689,77.23031578947369,Residential,16,52.01,0.18,55.0
28.5689,77.23031578947369,Residential,17,48.3,0.139,30.4
28.5689,77.23031578947369,Residential,18,58.22,0.269,45.5
28.5689,77.23031578947369,Residential,19,63.87,0.385,43.6
28.5689,77.23031578947369,Residential,20,62.79,0.382,39.3
28.5689,77.23031578947369,Residential,21,42.12,0.087,32.0
28.5689,77.23031578947369,Residential,22,58.98,0.287,49.2
28.5689,77.23031578947369,Residential,23,54.99,0.314,30.6
28.5689,77.23505263157895,Residential,0,43.92,0.032,32.5
28.5689,77.23505263157895,Residential,1,48.62,0.163,51.2
28.5689,77.23505263157895,Residential,2,51.53,0.203,57.6
28.5689,77.23505263157895,Residential,3,59.67,0.352,49.8
28.5689,77.23505263157895,Residential,4,53.99,0.216,46.6
28.5689,77.23505263157895,Residential,5,51.72,0.287,31.2
28.5689,77.23505263157895,Residential,6,53.73,0.189,46.1
28.5689,77.23505263157895,Residential,7,65.94,0.509,44.9
28.5689,77.23505263157895,Residential,8,61.14,0.374,48.5
28.5689,77.23505263157895,Residential,9,64.32,0.266,40.8
28.5689,77.23505263157895,Residential,10,54.12,0.222,60.9
28.5689,77.23505263157895,Residential,11,54.88,0.265,47.8
28.5689,77.23505263157895,Residential,12,58.27,0.323,45.3
28.5689,77.23505263157895,Residential,13,59.24,0.372,51.7
28.5689,77.23505263157895,Residential,14,49.92,0.218,43.6
28.5689,77.23505263157895,Residential,15,56.96,0.298,50.7
28.5689,77.23505263157895,Residential,16,43.05,0.0,20.0
28.5689,77.23505263157895,Residential,17,61.19,0.284,52.0
28.5689,77.23505263157895,Residential,18,63.47,0.399,40.0
28.5689,77.23505263157895,Residential,19,60.64,0.398,57.7
28.5689,77.23505263157895,Residential,20,65.12,0.379,71.8
28.5689,77.23505263157895,Residential,21,54.66,0.257,60.3
28.5689,77.23505263157895,Residential,22,47.85,0.169,34.8
28.5689,77.23505263157895,Residential,23,53.09,0.209,65.3
28.5689,77.23978947368421,Market,0,62.64,0.399,60.4
28.5689,77.23978947368421,Market,1,52.98,0.129,44.0
28.5689,77.23978947368421,Market,2,65.85,0.404,49.3
28.5689,77.23978947368421,Market,3,53.84,0.209,46.6
28.5689,77.23978947368421,Market,4,70.73,0.587,73.7
28.5689,77.23978947368421,Market,5,60.14,0.286,47.8
28.5689,77.23978947368421,Market,6,78.29,0.578,54.1
28.5689,77.23978947368421,Market,7,72.92,0.55,70.9
28.5689,77.23978947368421,Market,8,73.79,0.565,83.3
28.5689,77.23978947368421,Market,9,68.11,0.44,44.1
28.5689,77.23978947368421,Market,10,75.49,0.607,63.8
28.5689,77.23978947368421,Market,11,63.56,0.405,51.5
28.5689,77.23978947368421,Market,12,61.42,0.338,48.1
28.5689,77.23978947368421,Market,13,63.97,0.451,51.5
28.5689,77.23978947368421,Market,14,72.17,0.558,55.7
28.5689,77.23978947368421,Market,15,61.59,0.339,42.1
28.5689,77.23978947368421,Market,16,73.58,0.577,80.7
28.5689,77.23978947368421,Market,17,83.98,0.729,60.3
28.5689,77.23978947368421,Market,18,79.22,0.649,53.9
28.5689,77.23978947368421,Market,19,74.65,0.571,63.9
28.5689,77.23978947368421,Market,20,68.32,0.483,55.1
28.5689,77.23978947368421,Market,21,64.2,0.403,48.6
28.5689,77.23978947368421,Market,22,66.61,0.459,60.8
28.5689,77.23978947368421,Market,23,76.91,0.669,84.5
28.5689,77.24452631578947,Market,0,63.24,0.348,39.7
28.5689,77.24452631578947,Market,1,57.86,0.35,46.3
28.5689,77.24452631578947,Market,2,65.19,0.386,47.3
28.5689,77.24452631578947,Market,3,57.41,0.273,43.1
28.5689,77.24452631578947,Market,4,54.84,0.196,45.7
28.5689,77.24452631578947,Market,5,59.9,0.39,39.4
28.5689,77.24452631578947,Market,6,79.95,0.675,66.0
28.5689,77.24452631578947,Market,7,72.77,0.471,70.7
28.5689,77.24452631578947,Market,8,76.37,0.589,46.8
28.5689,77.24452631578947,Market,9,71.55,0.529,60.6
28.5689,77.24452631578947,Market,10,70.09,0.544,51.4
28.5689,77.24452631578947,Market,11,65.96,0.435,45.5
28.5689,77.24452631578947,Market,12,75.17,0.543,54.6
28.5689,77.24452631578947,Market,13,67.96,0.513,51.7
28.5689,77.24452631578947,Market,14,79.0,0.568,77.9
28.5689,77.24452631578947,Market,15,70.93,0.522,47.1
28.5689,77.24452631578947,Market,16,66.89,0.343,37.2
28.5689,77.24452631578947,Market,17,77.71,0.652,72.4
28.5689,77.24452631578947,Market,18,76.73,0.535,50.4
28.5689,77.24452631578947,Market,19,69.38,0.433,57.8
28.5689,77.24452631578947,Market,20,77.57,0.634,59.4
28.5689,77.24452631578947,Market,21,65.54,0.425,46.0
28.5689,77.24452631578947,Market,22,57.53,0.334,51.8
28.5689,77.24452631578947,Market,23,79.44,0.598,52.0
28.5689,77.24926315789475,Residential,0,54.16,0.285,46.2
28.5689,77.24926315789475,Residential,1,50.89,0.086,36.8
28.5689,77.24926315789475,Residential,2,54.45,0.219,39.3
28.5689,77.24926315789475,Residential,3,50.11,0.165,34.3
28.5689,77.24926315789475,Residential,4,47.63,0.15,25.2
28.5689,77.24926315789475,Residential,5,51.58,0.182,22.9
28.5689,77.24926315789475,Residential,6,61.49,0.399,54.9
28.5689,77.24926315789475,Residential,7,60.09,0.27,36.4
28.5689,77.24926315789475,Residential,8,58.54,0.338,38.2
28.5689,77.24926315789475,Residential,9,63.54,0.365,46.6
28.5689,77.24926315789475,Residential,10,59.87,0.248,33.2
28.5689,77.24926315789475,Residential,11,54.33,0.298,54.0
28.5689,77.24926315789475,Residential,12,53.88,0.259,35.9
